name,minplayers,minplaytime,maxplaytime,minage,average,avgweight
Legendary  A Marvel Deck Building Game,1,30,60,14,7.59345,2.4493
La Granja,1,90,120,12,7.69331,3.5812
Zombicide  Black Plague,1,60,180,14,7.71281,2.5312
Magic  The Gathering \u2013 White Planeswalkers Ajani Goldmane,2,20,20,13,7.49478,3.1904
Go,2,30,180,8,7.63465,3.9956
The Princes of Florence,2,75,100,12,7.54206,3.2505
Steam,3,90,90,10,7.61627,3.4582
Ticket to Ride \u0633\u0643\u0629 \u0633\u0641\u0631,2,30,60,8,7.436839999999999,1.8589
Viticulture,2,90,90,13,7.624560000000002,2.9369
Star Realms  Colony Wars,2,20,20,12,7.88402,1.9221
Ra,2,45,60,12,7.4687899999999985,2.3496
Cyclades,2,60,90,13,7.52257,2.83
Carcassonne,2,30,45,7,7.42103,1.921
Kanban  Driver's Edition,2,90,120,12,7.85014,4.325
Shogun,3,90,120,12,7.549689999999999,3.3728
Galaxy Trucker,2,60,60,10,7.42531,2.3242
Coimbra,2,60,90,14,7.727989999999999,3.2863
Rajas of the Ganges,2,45,75,12,7.691889999999999,2.8482
YINSH,2,30,60,9,7.682930000000002,2.7039
Sushi Go Party!,2,20,20,8,7.49379,1.3255
Marvel Champions  The Card Game,1,45,90,14,8.374369999999999,2.64
1830  The Game of Railroads and Robber Barons,2,180,360,14,7.87498,4.1598
Deception  Murder in Hong Kong,4,20,20,14,7.511939999999999,1.5957
Isle of Skye  From Chieftain to King,2,30,50,8,7.45078,2.2402
Power Grid Deluxe  Europe\/North America,2,120,120,12,8.03222,3.2
Lewis & Clark,1,120,120,14,7.50926,3.3466
Imperial Settlers,1,45,90,10,7.45114,2.7736
Secret Hitler,5,45,45,13,7.576969999999998,1.6851
Glory to Rome,2,60,60,12,7.48492,2.9307
Imperial,2,120,180,13,7.61384,3.5731
Hero Realms,2,20,30,12,7.6441,1.9179
Dungeon Petz,2,90,90,13,7.49825,3.5807
Bora Bora,2,60,120,12,7.564139999999999,3.7367
Aeon's End  War Eternal,1,60,60,14,8.48219,2.8833
1960  The Making of the President,2,90,120,12,7.59512,3.2013
Age of Empires III  The Age of Discovery,2,90,120,10,7.553739999999999,3.1277
Seasons,2,60,60,14,7.43155,2.7745
Space Alert,1,30,30,12,7.460669999999999,2.9531
Exit  The Game \u2013 The Abandoned Cabin,1,60,120,12,7.6233,2.5833
Dead of Winter  The Long Night,2,60,120,14,7.71928,3.4464
Dixit  Odyssey,3,30,30,8,7.47383,1.205
Summoner Wars  Master Set,2,30,60,9,7.53925,2.5144
Hannibal  Rome vs. Carthage,2,40,200,12,7.809369999999999,3.4396
Runewars,2,180,240,14,7.65252,3.7684
Flamme Rouge,2,30,45,8,7.57292,1.6573
BattleLore (Second Edition),2,45,90,14,7.7873,2.7008
Samurai,2,30,60,10,7.442589999999999,2.4961
Navegador,2,60,90,12,7.560389999999999,3.0977
Fury of Dracula (Third\/Fourth Edition),2,120,180,14,7.54661,3.2008
Alien Frontiers,2,90,90,13,7.4371399999999985,2.5746
Mage Wars Arena,2,90,90,13,7.6795399999999985,3.6589
Indonesia,2,180,240,14,7.851189999999999,3.995
Tyrants of the Underdark,2,60,60,14,7.89435,2.5588
Lords of Hellas,1,60,90,14,7.9546800000000015,3.3376
Antiquity,2,120,180,14,7.9046,4.3127
Roll Player,1,60,90,10,7.518219999999999,2.4
Battle Line,2,30,30,12,7.41902,1.9077
Imperial 2030,2,120,180,12,7.689960000000001,3.4985
The Quest for El Dorado,2,30,60,10,7.569,1.9719
Rokoko,2,60,120,12,7.58448,3.0971
Burgle Bros.,1,45,90,12,7.584910000000002,2.2929
\u05e7\u05d9\u05e0\u05d2\u05d3\u05d5\u05de\u05d9\u05e0\u05d5,2,15,20,8,7.364,1.2078
Mysterium,2,42,42,10,7.3627699999999985,1.9098
Pulsar 2849,2,60,90,14,7.76394,3.3041
Above and Below,2,90,90,13,7.474439999999999,2.5329
The Manhattan Project  Energy Empire,1,60,120,13,7.80513,3.018
\u82b1\u898b\u5c0f\u8def,2,15,15,10,7.5539999999999985,1.7178
Modern Art,3,45,45,10,7.384139999999999,2.3125
Onitama,2,15,20,8,7.4431699999999985,1.6935
Here I Stand  Wars of the Reformation 1517-1555,2,180,360,12,7.93077,4.164
Sid Meier's Civilization  The Board Game,2,120,240,13,7.435519999999999,3.878
Charterstone,1,45,75,14,7.52181,2.8416
Dungeon Lords,2,90,90,12,7.40486,3.5493
Small World,2,40,80,8,7.2852,2.3625
Letters from Whitechapel,2,60,60,14,7.4206699999999985,2.6679
Hive,2,20,20,9,7.3220399999999985,2.3358
Der Widerstand,5,30,30,13,7.31093,1.6163
Star Wars  Armada,2,120,120,14,7.885739999999998,3.1458
Agricola  All Creatures Big and Small,2,30,30,13,7.41056,2.3462
Cthulhu Wars,2,90,120,14,7.9348899999999984,3.1174
Bruges,2,60,60,10,7.444739999999999,2.7566
Merchants & Marauders,2,180,180,13,7.42923,3.2296
Tainted Grail  The Fall of Avalon,1,60,120,14,8.99553,3.2517
Ethnos,2,45,60,14,7.4988800000000015,2.0145
Just One,3,20,20,8,7.60502,1.0755
Century  Spice Road,2,30,45,8,7.3768,1.7787
Ghost Stories,1,60,60,12,7.34322,2.9139
Mission  Red Planet (Second Edition),2,45,90,14,7.48955,2.2129
Telestrations,4,30,30,12,7.41564,1.0892
Century  Golem Edition,2,30,45,8,7.72002,1.6316
Tikal,2,90,90,10,7.34151,2.8102
Glass Road,1,20,80,13,7.4533,2.9753
Dixit,3,30,30,8,7.2791,1.2308
Acquire,2,90,90,12,7.347389999999999,2.5057
Evolution  Climate,2,60,60,12,7.68037,2.7526
Neuroshima Hex! 3.0,1,30,30,13,7.4119100000000016,2.6101
Takenoko,2,45,45,8,7.29391,1.9768
Tiny Epic Galaxies,1,30,45,14,7.3869,2.1636
Die Macher,3,240,240,14,7.6228,4.3433
Arboretum,2,30,30,8,7.41418,2.1463
Endeavor,3,90,90,12,7.42116,2.9082
Notre Dame,2,45,75,10,7.358810000000001,2.7518
Love Letter,2,20,20,10,7.243339999999999,1.1927
Paladins of the West Kingdom,1,90,120,12,8.13809,3.5823
Claustrophobia,2,45,45,14,7.53725,2.4805
In the Year of the Dragon,2,75,100,12,7.375780000000002,3.1066
Clash of Cultures,2,180,240,14,7.63548,3.5948
Heaven & Ale,2,60,90,12,7.6107,3.2321
San Juan,2,45,60,10,7.26819,2.2888
Survive  Escape from Atlantis!,2,45,60,8,7.304410000000002,1.7085
Blood Bowl  Living Rulebook,2,120,120,12,7.85787,3.1731
The Pillars of the Earth,2,90,120,12,7.301069999999998,2.8254
Res Arcana,2,20,60,12,7.7911800000000015,2.6462
Frank Herbert's Dune,2,60,180,12,7.62114,3.4402
Saint Petersburg,2,45,60,10,7.312869999999998,2.4696
The Manhattan Project,2,120,120,13,7.398860000000001,2.9628
Advanced Squad Leader Rule Book,2,120,480,14,7.969310000000001,4.7172
Civilization,2,360,360,12,7.507789999999999,3.658
Space Hulk (third edition),2,60,60,12,7.53737,2.7879
Mice and Mystics,1,60,90,7,7.34728,2.6782
Mythic Battles  Pantheon,2,60,90,14,8.54641,3.0213
Codenames  Pictures XXL,2,15,15,10,7.304839999999999,1.2659
At the Gates of Loyang,1,60,120,10,7.381639999999999,3.1371
Ticket to Ride  M\u00e4rklin,2,30,60,8,7.408060000000001,2.2443
Blood Bowl  Team Manager \u2013 The Card Game,2,90,90,14,7.3801,2.3316
