name,minplayers,minplaytime,maxplaytime,minage,average,avgweight
Dolce Vita,3,30,30,10,6.1445,1.6875
Crossing the Line  Aachen 1944,1,0,0,0,8.26286,3.3333
Pockets,2,60,60,8,6.39789,1.25
Crystallo,1,20,30,8,7.789619999999998,2.0
Bloody April  The Battle of Shiloh,2,1200,1200,12,6.7934800000000015,4.25
Hat-Trick,2,40,40,14,7.0922600000000005,2.8
Toe-to-Toe Nu'klr Combat with the Rooskies,1,15,15,13,6.37993,1.3929
Dark Age Z,2,90,90,12,7.23765,3.0
Stratopolis,2,10,20,8,6.75225,1.8182
Cha dango,2,15,25,5,6.700539999999998,1.0
Too Many Poops,2,15,30,8,6.73814,1.125
Suspense  the Card Game,3,15,15,12,6.40537,1.6
Krone & Schwert,2,60,60,10,6.02721,2.5278
Hangtown,2,60,90,13,7.34077,3.6
Moon Base,2,30,60,9,7.29375,2.0
Lightning  D-Day,2,30,30,9,5.97129,1.8438
Shogunate,3,20,25,14,6.50232,1.6667
Asteroid,2,120,180,10,6.37524,2.1579
W\u00fcrfelwurst,2,15,15,8,6.15953,1.0
Krieg! World War II in Europe,2,300,1800,12,6.587160000000001,3.5652
Planecrafters,2,30,60,10,6.9658,1.4
Chickamauga  The Last Victory,2,120,120,12,6.81744,2.5455
Slaughterville,1,60,120,14,6.662000000000001,2.5
Conspiracy  The Solomon Gambit,2,30,60,14,6.8992,2.5
Sword Art Online Board Game  Sword of Fellows Deluxe Edition,1,30,30,10,6.30244,1.7
Rory's Story Cubes  Mythic,1,20,20,6,6.845739999999998,1.0
Slavika  Equinox,2,45,45,10,6.695410000000001,2.6
Hordes Primal Mk III,2,45,90,12,7.89565,4.3333
Under Falling Skies,1,20,40,8,7.8933300000000015,3.1667
Saustall,2,45,45,10,6.25605,2.2308
Complots 2,2,15,15,8,6.95442,2.0
Gods' Gambit,2,20,20,0,6.35973,1.5833
Start Player Express,2,1,1,8,6.563860000000001,1.1538
The Hobbit  An Unexpected Journey Strategy Battle Game,2,30,30,12,7.44262,3.25
Strand-Cup,4,45,45,10,6.1209,1.2
Bao,2,40,40,0,6.7898,3.6
Lock 'n Load Tactical  Heroes of the Falklands,2,120,240,12,7.823469999999999,3.0
Stratego Legends  The Shattered Lands,2,60,60,8,5.78702,2.2642
The Walking Dead  Here's Negan \u2013 The Board Game,1,60,90,0,8.15714,3.0
Star Fleet Battles  Volume I,2,180,180,12,7.57677,4.0
Armymals,2,45,45,0,6.5239,2.25
Ravage  Dungeons of Plunder,1,30,90,14,7.58615,2.0
Oodles,3,20,20,0,6.08885,1.3684
Ocean Crisis,2,30,60,8,7.360810000000002,2.0
Portal of Morth,1,90,180,12,6.72655,3.125
Seastrike,1,60,60,12,7.25278,2.5294
Sweet Spot,1,20,45,10,7.36066,1.5
Schlag den Raab  Das Spiel,2,60,60,12,6.22503,1.4706
Transformers Armada   Battle for Cybertron,2,30,30,8,6.23709,1.68
Green Deal,3,60,90,10,6.89877,2.9091
Malvern Hill,1,240,240,0,7.460939999999999,3.6364
Heroes Incorporated,2,60,60,9,6.05041,1.9655
Anno Domini  Wissenschaft & Forschung,2,30,30,10,6.84438,1.4
Regatta,2,20,20,5,6.05659,1.3333
KAPOW!,2,20,60,8,7.97188,2.2
Guts of Glory,2,30,30,8,6.32111,1.7143
Shiloh  April 1862,2,180,180,12,7.0362100000000005,2.7143
Chronopia,2,90,90,12,7.013889999999999,3.3333
Die Inseln im Nebel,2,45,60,10,7.1807,2.3333
Orient Express,2,45,90,14,6.956010000000001,2.5
Kawanakajima 1561,1,0,0,0,7.754689999999999,3.0
Holdfast  Atlantic 1939-45,1,60,150,13,7.2164100000000015,2.3333
Dino Hunt Dice,2,10,10,6,5.84017,1.0667
Great War at Sea  U.S. Navy Plan Orange,2,120,120,12,6.73019,2.35
Little Circuses,1,30,45,10,6.375369999999998,2.25
Kampf gegen das Spiessertum,3,30,500,18,7.236669999999998,1.0
Bug Hunter Sniper!  Sniper! Companion Game #3,2,90,90,12,6.79277,3.2
Festung Europa  The Campaign for Western Europe,2,240,240,12,6.86786,3.0
Face To The Mat,1,0,0,12,8.2037,1.8333
Axis & Allies Air Force Miniatures  Bandits High,2,90,90,10,7.53281,2.8889
Lusitania,2,10,20,8,7.62142,1.5
Red Typhoon  The Soviet Winter Counter-Offensive,1,240,420,0,7.6963,1.4
Dragon Quest,2,60,60,10,6.20326,2.625
Car Wars (fifth edition),2,60,60,12,6.101369999999998,2.4545
Shop 'N Time,2,15,30,13,6.3193199999999985,1.0
Rapidough Travel,4,30,30,8,6.21172,1.1429
13 Ghosts,2,10,20,8,6.48201,1.375
Sam Grant,2,180,180,12,6.40462,2.8846
Colorado County,2,60,60,10,6.16337,2.4706
Xalapa,1,30,30,8,6.62369,2.4286
Timeline  Qu\u00e9bec,2,15,15,8,6.82977,1.0
Keytown,2,60,60,12,6.52009,2.8
The End is Nigh,2,15,20,13,6.60357,2.0
Defiant Russia,2,120,120,12,6.16429,1.9667
Mont\u00e9limar  Anvil of Fate,1,120,3000,0,8.93023,4.25
Buried Treasure,2,30,30,10,6.0179300000000016,1.5714
Vampires of the Night,2,20,20,6,6.231330000000002,1.0
JENA!,2,300,300,12,6.82222,2.8421
My Little Pony  Collectible Card Game,2,20,20,10,6.0800800000000015,2.7222
Multiplayer Pentago,2,5,5,7,6.328130000000002,1.6667
Anno Domini  Spiel des Jahres,2,30,30,10,6.30376,1.5
The Hunt for Red October,2,60,60,12,5.90799,2.4694
Gato Leader,1,60,60,12,7.21127,2.5
Space Movers 2201,2,60,60,13,6.72168,2.125
Lino,2,20,20,8,6.77747,2.4
Austerlitz 1805  Partie Sud,2,60,60,12,7.525,3.3077
Rebel Nox,4,20,30,12,6.4565199999999985,2.0
Munchkin Collectible Card Game,2,20,40,10,6.49837,2.6667
Escape of the Dead Minigame,1,15,15,7,6.30773,1.15
Air Show,2,60,90,14,6.581860000000002,2.5455
Krosmaster Junior,2,5,15,7,6.06936,1.0
Sector 6,1,30,60,8,6.21434,2.2
Weapons & Warriors   Castle Combat Set,2,30,30,7,5.92716,1.2766
1812  The Cradle of Steam Railways,2,180,180,12,7.15,4.6667
Marvel Dice Masters  Avengers Infinity Campaign Box,2,30,30,14,7.50161,3.0
Star Wars Death Star Perplexus,1,0,0,8,7.36556,2.0
Spartacus Imperator,1,90,90,10,7.66825,2.2222
Dig Mars,2,30,30,8,6.12602,1.6923
Frantic,2,5,45,12,6.68319,1.6667
Jungle Jam,2,20,20,6,6.09619,1.2778
Cat Rescue,1,15,30,8,6.74898,1.4
Star Wars  Starfighter Battle Book,2,10,10,10,6.42821,1.6471
Blank,2,10,15,8,6.39922,1.2
Throne of Allegoria,2,60,120,12,6.9729199999999985,3.7143
POW!,2,20,20,8,6.2013300000000005,1.3333
Cat & Chocolate,3,20,20,8,6.00726,1.1176
Boots on the Ground,1,60,60,10,6.34165,1.8947
Impetus,2,90,90,0,7.46695,3.0833
Hospital Rush,3,30,60,10,5.98104,1.6875
Buster Balloon,2,15,15,8,5.99328,1.0
Azhanti High Lightning,2,60,60,10,6.31571,2.3636
All Things Zombie  Better Dead Than Zed!,1,45,45,12,7.40423,2.6364
Intelle,2,15,15,10,7.96855,2.0
Anno Domini  Europa,2,30,30,10,6.81635,1.1429
Regimental Fire and Fury,2,180,180,0,7.85854,3.0
Sweet Nose,3,30,45,8,6.620989999999999,1.25
Mighty Monsters,3,20,35,8,5.95481,1.3333
W\u00fcrfel-Ligretto,2,20,20,8,5.88217,1.0435
D-Day (3rd edition),2,180,180,12,5.94089,2.6
Austerlitz,1,360,360,12,6.50833,3.3529
LOAD  League of Ancient Defenders,2,90,180,13,6.50349,2.8
Russian Civil War 1918-1922 (second edition),1,240,240,12,7.245239999999999,3.3333
Magic Hill,2,30,30,8,5.94534,1.5625
Crave,2,25,35,10,7.40385,2.0
Zagor  Odissea Americana,2,60,90,14,7.59242,3.0
Afrika Korps  Decision in the Desert,1,240,240,12,7.45283,2.5
Probe,2,60,60,8,5.77031,1.569
Trapper,2,30,60,10,6.10777,2.05
Iron Helm,1,30,45,12,8.317260000000001,2.2
Hit or Miss,3,30,30,10,6.230169999999998,1.0
Village of Legends,2,20,60,10,7.21225,1.5
The Battle for Dresden 1813,2,300,300,12,7.0,3.0
Poitiers 1356 et Formigny 1450,2,45,45,12,7.414060000000001,2.3529
RED,3,20,20,7,6.9409600000000005,2.3333
Out of Gears,2,30,30,8,6.22781,1.5
Oh,2,30,40,10,5.8477,1.45
Dragon Dice  Scalders,2,30,30,10,5.8404300000000005,2.3793
Black Cross \/ Blue Sky,1,60,60,10,7.12603,2.5
Supermarina I  Command at Sea Volume II,2,150,150,12,7.57143,4.5
Top That!,2,15,15,6,6.0887,1.2
Maki Stack,2,10,15,7,6.24762,1.0
One More Barrel,3,90,90,12,6.4333300000000015,3.1923
Glenn Drover's Empires  Galactic Rebellion,2,90,180,14,6.54065,3.2
Ramses II,1,30,30,7,5.76814,1.3548
Pirates of the Spanish Main  Shuffling the Deck,2,30,30,8,6.04666,1.5789
Flip City  Wilderness,1,30,50,14,6.18626,2.0
The Romans,1,90,150,14,6.985289999999999,2.5
TOKYO JUTAKU,1,10,30,5,6.2693400000000015,1.0
L\u00e4nder toppen!,2,30,45,8,6.82349,1.5
Arkham Noir  Collector Case #1 \u2013 The Real Leeds,1,30,30,14,7.23273,2.0
Second World War at Sea  Strike South,2,120,120,12,6.98158,2.7273
San Quentin Kings,3,90,120,14,6.9455100000000005,2.5556
Mag\u00b7Blast,2,60,60,10,5.9056,1.5278
Spaghetti,2,20,30,6,6.11956,1.0
Solitaire for Two,1,30,45,13,6.76605,2.2
Coloretto Amazonas,2,20,20,8,5.7793,1.2444
Kauchuk,2,20,40,8,8.26062,1.3333
Great Scott!,3,20,45,11,6.76444,1.0
Warhammer 40,2,45,45,10,5.9942199999999985,2.48
Dux Bellorum,2,60,60,0,8.00642,2.2308
Volle H\u00fctte,3,30,30,12,6.20648,2.0909
Great War at Sea  1898,2,30,30,12,6.58447,2.5909
Gem Rush (Second Edition),1,30,60,14,7.088889999999999,2.0
Iberian Gauge,3,90,90,0,7.0411800000000015,2.5
Star Fleet Battle Manual,2,45,90,12,7.12857,2.0
Perpetual Commotion,2,45,45,13,6.26203,1.1111
East Indiaman,2,60,90,12,6.88933,3.0
A War of Whispers,2,30,60,14,7.50448,2.8333
Bee Lives  We Will Only Know Summer,1,30,120,14,7.16833,3.6667
Eaten By Zombies!  In Cahoots,2,20,20,13,6.14469,1.9
The Crusades,2,240,240,12,6.3087,2.9048
The White Tribe  Rhodesia's War 1966-1980,1,120,180,12,8.67949,3.25
Buzzword,4,45,45,10,5.7369900000000005,1.1905
Elementum,1,10,30,10,7.19268,2.0
Helden in der Unterwelt,1,90,90,10,6.42744,2.25
Tank on Tank  East Front,1,20,45,10,7.4025,1.7143
Offshore,2,60,60,10,6.990589999999999,2.25
RoboRama,2,45,45,8,6.36029,2.3333
Geek Out!,2,30,30,10,5.75951,1.25
Dust in the Wings,2,30,30,10,6.3992,1.3333
Kitty Paw,1,15,30,6,5.86606,1.2941
Osmanli Harbi The Ottoman Fronts  1914 to 1918,2,360,360,12,7.79352,3.125
Maus au Chocolat,2,30,30,8,6.00731,1.3043
1806  Rossbach Avenged,2,120,120,12,6.9153600000000015,3.4
Luftschiff,1,60,60,12,7.09444,3.2778
Polizei-Alarm!,2,25,25,6,6.43818,1.1429
Deadlands  Doomtown Range Wars,2,90,90,10,6.26898,2.2
Ler\u00e9ia,2,60,60,0,6.65297,1.4444
Druid  Boudicca's Rebellion,2,180,180,12,6.82809,3.0
End of the Line,3,70,80,13,7.0456,2.0
Lunes,1,10,15,10,7.94767,1.5
Shiba Inu House,1,15,30,6,6.10545,1.2
Nantucket,2,20,20,13,6.15534,1.9
Escape Room In A Box  Flashback,2,30,90,13,7.24569,0.0
Inklings,4,45,45,12,6.3707,1.5
Disaster on Everest,1,60,60,13,6.64043,1.7857
Oh My Gods!,3,15,15,8,7.394610000000001,2.0
No Return  Es gibt kein Zur\u00fcck!,2,30,30,8,6.99184,2.0
Castellum  Maastricht,2,120,200,12,6.90013,2.5
The Three Days of Gettysburg (second edition),2,360,360,12,7.1958,4.1429
Goblin's Breakfast,2,15,15,8,7.05342,1.4286
Miskatonic University  The Restricted Collection,2,30,45,13,6.35947,2.0
Garum,2,20,45,8,7.69118,1.5
Daimyo's Fall,1,45,60,14,7.8993,3.75
Rescue Polar Bears,1,30,60,10,6.79921,2.8
Der Herr der Ringe  Die Gef\u00e4hrten \u2013 Das Kartenspiel,2,45,45,9,6.02006,1.9535
Fragile,1,35,35,10,6.36841,2.7692
Encantados,2,30,60,10,7.1105399999999985,1.5
Anno Domini  Wort Schrift Buch,2,30,30,10,6.7888899999999985,1.4
Dirigible Disaster,2,20,40,8,7.12302,1.8333
Palenque,2,60,60,10,6.10982,2.2667
Bluff,2,30,30,0,6.52072,0.0
The African Campaign  Designer Signature Edition,1,120,180,12,7.285939999999999,2.5
Montmirail and Vauchamps 1814,2,240,240,0,8.19737,3.0
Striker,2,180,180,14,6.49261,3.1481
Coup,2,90,90,10,6.2903,1.8235
Merchants of Muziris,2,0,0,0,7.37983,1.3333
Moons,3,20,20,8,6.0469,1.5
Rhein  River Trade,2,60,120,12,6.3764699999999985,3.25
Nomic,2,10,180,0,7.12778,4.3636
The Comprehensive Guide to Board Wargaming,0,0,0,10,8.025,3.75
Haithabu,2,90,90,12,6.2634300000000005,3.4615
Chunky Fighters,2,10,10,6,6.17015,1.1429
Day Night Z,1,60,150,14,7.80192,3.5
Outback,2,30,45,8,6.23716,1.3333
Bananagrams WildTiles,1,15,15,8,6.49988,1.0
Duel Masters Trading Card Game  2 Player Starter Set,2,30,30,10,6.21677,1.9375
Dungeon Solitaire  Tomb of the Four Kings,1,2,10,0,6.92629,1.25
La R\u00e9volution fran\u00e7aise  La patrie en danger 1790-1796,4,180,180,10,7.15152,3.7273
Cubiko,2,10,10,6,6.425680000000002,1.1818
Mount Drago,2,30,30,8,5.895,1.8636
The Russo-Japanese War,1,360,360,12,7.84043,4.1111
Gold Digger,2,20,20,7,5.73658,1.1951
Zauberei hoch drei,2,20,30,6,6.63076,1.0
The Red Dragon Inn  Gambling? I'm In!,2,5,5,15,6.1639300000000015,2.0
Medieval,1,90,180,12,6.71979,2.3333
Operation Crusader,2,300,300,0,7.27836,3.6923
Wagram,2,90,90,12,6.7226300000000005,2.25
NATO Air Commander,1,45,60,0,7.747999999999998,2.375
Steamopolis,1,60,100,12,7.213710000000002,3.6667
Munchkin Teenage Mutant Ninja Turtles,3,60,120,0,7.256710000000001,2.0
Switching Tracks,2,60,60,10,6.54381,2.3636
Greyhounds,3,90,90,14,6.34121,2.0
Save the Meeples,2,40,60,10,6.817069999999998,2.6667
Demonlord,2,90,90,10,6.79426,3.0
Pacific Fleet,2,360,360,12,7.6276,4.0
Moorea,2,30,30,8,6.28314,2.0
Emu Ranchers,2,15,15,0,6.580610000000001,1.5714
Manifest,2,45,45,13,6.61515,2.8
Dicium,1,30,60,8,7.0465100000000005,2.5
Caminos,2,25,25,10,6.66047,1.4
The Exiled  Siege,1,90,120,14,6.54735,2.75
Perpetual-Motion Machine,2,45,45,8,6.03699,1.64
Austerlitz 20,2,45,45,12,6.98188,2.0
Aspern-Essling,1,240,240,0,6.7161300000000015,3.25
Warsaw Rising Up 1945-1980,2,60,120,10,6.724189999999999,2.0
WarCry,2,20,20,12,6.43538,2.4
Hunters of Arcfall,2,30,30,8,6.19128,1.45
Stone & Relic,2,30,30,0,6.35331,2.0
Islands of the Damned  Wake Island and Peleliu,1,180,180,14,7.3571399999999985,2.0667
En Garde!,2,45,45,10,5.7962,1.3051
Collapsible D  The Final Minutes of the Titanic,3,30,30,12,6.625,2.0
Cold War Commander,2,150,150,12,7.33455,3.1667
Radetzky's March  The Hundred Hours Campaign,1,60,360,14,7.768,2.2
Wok on Fire,2,20,20,7,6.2975900000000005,1.4
Keydom,2,90,90,10,6.842110000000001,2.6667
Rory's Story Cubes  Score,1,20,20,6,6.634689999999999,0.0
Micro Space Empire,1,10,10,0,6.52202,1.1765
Carrier Strike!,2,45,45,8,5.99351,1.4412
Glik,2,30,30,10,6.25913,2.0
Tal der Abenteuer  Die Schatzsuche im Himalaja,2,45,45,8,5.874230000000002,1.619
1940,2,120,120,12,6.47768,2.4211
Preference,3,120,120,0,7.42985,3.3333
Palazzo Paletti,2,60,60,8,6.789039999999999,1.1667
Bridgette,2,45,45,10,6.37705,2.5556
Cuba  The Splendid Little War,2,120,120,13,7.2881399999999985,2.8
Blorg in the Midwest,1,10,20,10,7.14452,1.75
Migration  Book II \u2013 A Saga of Conflict,2,30,30,12,7.032,2.4444
Jackson at the Crossroads  Cross Keys & Port Republic,1,240,240,12,7.7153800000000015,3.75
Castle Flutterstone,2,15,25,6,6.41868,1.5
Nur die Ziege z\u00e4hlt,3,30,30,8,6.02585,1.3333
Night Drop  6 June 44,2,180,180,0,7.33426,2.3
Cabale,2,60,60,12,6.20066,2.5
Anomaly,2,45,60,14,7.511610000000001,2.3333
Wanted 7,2,20,40,8,6.773739999999999,1.4
Introduction to Advanced Dungeons & Dragons,2,120,120,12,7.03205,3.0
A Spoiled Victory  Dunkirk 1940,1,60,60,0,7.5625,2.2
Highway to the Reich (third edition),1,0,0,0,7.35965,4.4167
Roman Civil War,2,120,120,12,6.8677199999999985,3.1667
50 Clues  The Pendulum of the Dead,1,90,90,16,7.12985,2.0
War of the Suns,2,1800,1800,12,7.132460000000001,4.375
World War 5,2,15,15,0,6.30187,1.6
The Conquerors  The Romans and The Macedonians,2,240,240,12,6.785539999999999,3.25
Dead & Breakfast,2,20,40,6,7.29692,2.0
Trivial Pursuit DVD  Star Wars Saga Edition,2,45,90,10,5.93751,1.9677
Formula E,3,60,60,8,6.19284,1.5
Space Junkyard,2,30,30,10,6.0113699999999985,1.7586
Torch,2,180,180,0,7.15278,3.8333
Bloody 110,2,360,360,12,7.187689999999999,4.0
Troll & Dragon,2,20,20,7,6.50755,1.2
Baseball Highlights  2045 \u2013 Spring Training,1,45,45,9,7.349439999999999,0.0
Epic Spell Wars of the Battle Wizards  ANNIHILAGEDDON Deck-Building Game,2,60,90,15,7.3571399999999985,2.0
Mini DiverCity,1,15,20,8,6.64575,1.5
Toddles-Bobbles,2,15,15,4,6.5733,1.0
Karambolage,2,20,30,6,6.11695,1.0909
Tablut,2,45,45,8,6.34897,2.6667
Hougoumont,1,120,120,12,6.613,2.5714
Crabz,2,20,20,8,6.24717,1.5714
Overlord,2,180,180,12,6.90494,2.9
Dungeon Dice,2,30,30,8,5.85439,1.0938
International Cricket,1,120,120,12,8.18571,2.8333
Wartime  The Battle of Valyance Vale,2,30,30,14,7.372330000000002,2.0
Wurzburg,2,90,90,12,6.983110000000001,2.2727
The Valkyrie Incident,2,30,30,0,6.5525,1.9
Syracuse (415\/413 av. J.-C.),2,120,120,0,7.45556,2.0588
Hameln,3,60,60,12,5.83712,2.8958
Hack Trick  It's Hacking Time,2,15,15,10,6.8506300000000016,1.8
Duomix,2,15,15,5,6.13926,1.0
5 Minute Chase,2,5,15,8,6.07733,1.6667
Metal Adventures,3,45,60,14,6.18716,2.5
Corunea,2,30,30,15,6.68348,3.0
Wilderness Empires,1,90,90,8,7.1433300000000015,1.9091
Flames of War  Open Fire,2,0,0,0,7.21667,2.75
Antietam  Burnished Rows of Steel,1,240,240,12,6.63737,2.5882
Kaiju Crush,2,45,45,10,6.48401,2.0
Forged in Fire  The 1862 Peninsula Campaign,2,180,180,12,6.91971,2.1429
The Mysterious Forest,2,10,25,6,5.86505,1.1111
Dexikon,1,45,45,8,6.26679,2.0
Wanzen tanzen,2,30,30,8,6.27302,1.2353
Crisis  Korea 1995,2,360,360,12,6.98267,4.3333
Kulikovo 1380  The Golden Horde,2,180,180,12,6.8,2.5556
Lock 'n Load Tactical  Heroes of North Africa,2,120,240,12,8.47059,4.0
Im Zeichen des Kreuzes,2,90,90,10,5.92685,2.2188
Kido Butai  Japan's Carriers at Midway,1,30,90,12,7.2918,2.1667
Great War at Sea  Cruiser Warfare,2,30,30,12,6.620430000000002,2.6
Invaders from Dimension X!,1,60,90,12,7.14394,2.0
Mob Town,2,30,30,8,6.576860000000001,1.5
Area 1851,2,60,60,14,6.53106,2.2857
By Fire and Sword,2,60,60,10,8.18478,2.0
Minion Hunter,1,60,60,12,6.19228,1.9375
Encore,2,45,45,8,5.8937800000000005,1.2593
Vorpals,2,30,30,12,7.07132,2.0
Sherlook,2,15,30,14,6.1451400000000005,1.0
Fantastic Park,2,30,30,7,6.38548,1.5
Triumphant Fox,2,180,180,0,7.4322,3.9
Pick 'N' Choose,2,30,30,14,6.4406,1.0
Internal Affairs,2,20,35,8,6.41962,1.8333
Blight Chronicles  Agent Decker,1,60,180,14,6.9093300000000015,2.0
Sinai,2,120,120,12,6.13995,2.8065
3 Kings,3,60,90,14,7.10824,2.8
Mana,2,30,30,8,6.61319,2.0
Tile Chess,2,90,90,12,5.9421,2.6818
Vampyre,2,45,45,12,6.22631,1.5
The Aztec Market,2,45,45,10,7.135669999999998,2.0
Ironclad,1,45,90,13,7.440989999999998,2.6667
The Schlieffen Plan,2,360,360,12,7.3873,3.4444
Volleyball High,2,15,25,10,7.36545,2.4
BattleGoats,2,5,30,9,7.191510000000001,1.1429
NATO,2,180,180,12,6.98,4.0
Septikon  Uranium Wars,2,45,45,10,6.48684,2.3333
Rock'n Rodeo  Der Festivalmanager,2,120,120,14,6.8646699999999985,3.0
World War II  Barbarossa 1941,2,60,60,10,7.07792,3.6
Caf\u00e9 International  Das Kartenspiel,2,45,45,10,5.7204,1.3253
Smash Monster Rampage!,1,30,30,8,6.50787,2.1667
Nights of Fire  Battle for Budapest,1,60,90,14,7.410710000000001,3.2857
Wings Over France,1,60,60,10,7.41379,3.2222
Deadfall,2,20,20,12,6.55554,0.0
The Perfumer,2,60,90,12,6.42016,2.6
Sissi!  Die Bohnenkaiserin,3,45,45,12,6.94722,2.5
Kanev  Parachutes Across the Dnepr,2,120,360,12,6.46638,2.8667
Tales & Games  Jack & the Beanstalk,2,20,20,7,6.62211,1.0
Dungeon Solitaire  Labyrinth of Souls,1,0,0,0,7.62245,1.8
The Mansky Caper,2,30,50,8,7.57723,2.0
Death Over The Kingdom,3,15,45,10,6.9946899999999985,2.2
Giza,2,10,10,8,5.87804,1.4340000000000002
Leningrad '41,1,30,120,10,8.23889,2.8333
Leverage,2,30,30,10,6.17108,1.7778
Foragers,2,60,80,8,6.52215,2.0833
Q\u2022bitz,2,15,25,8,6.0419800000000015,1.4167
TOP Kitchen,2,45,70,10,6.6917800000000005,2.0
Rights,3,20,20,9,6.20797,1.375
Castello Methoni,3,30,50,8,7.1128800000000005,2.25
Shenandoah  Jackson's Valley Campaign,2,120,180,12,7.02355,2.5
Inception  Solo card game,1,60,60,10,7.27818,2.2
Tannenberg  Eagles in the East \/ Galicia  The Forgotten Cauldron,2,360,360,12,7.65517,3.1111
Electronic Talking Mystery Mansion,2,45,45,8,6.34187,1.3571
Okko Chronicles  Cycle of Water \u2013 Quest into Darkness,2,120,0,13,8.469489999999999,3.0
Black Souls,1,45,60,10,6.915210000000001,2.0
Rommel's War,2,180,180,12,7.31452,3.9
Keesdrow Deluxe,2,60,60,8,6.39534,1.8095
Age of Muskets Volume I  Tomb for an Empire,2,20,6000,0,7.36159,3.7895
TimeTripper,1,45,45,12,6.186719999999998,2.2963
Campaign Trail,2,60,60,12,6.560460000000001,1.75
18GB  The Railways of Great Britain,2,120,300,12,7.99935,4.0
Mon premier tr\u00e9sor de jeux,1,5,5,3,6.91804,1.6667
Ramen,2,15,30,8,6.6572,1.5
Badass Riders,2,20,40,12,6.77416,2.0
Dr. Microbe,2,15,15,8,6.05025,1.0
Plunderbund,2,60,150,12,7.384289999999999,2.8333
Sturm Nach Osten,1,360,360,12,6.8843,2.8333
Fiery Dragons,2,15,15,5,6.10846,1.3333
FBI,2,30,30,10,5.78551,1.5357
Free Trader,1,45,45,0,6.1407300000000005,1.5625
Nautilus,2,25,25,10,6.15787,1.6923
WARIGIN,2,15,60,16,8.22754,2.3333
Asgard's Chosen,1,90,90,12,6.1264699999999985,3.1765
Picky Sticks,2,15,15,0,6.10055,1.0
Button Soccer,2,50,50,0,7.139310000000001,1.9167
Die Schlacht der Dinosaurier,2,60,60,10,6.33469,1.3636
Attack of the Jelly Monster,3,15,25,8,6.14021,1.5
La Grande Arm\u00e9e,1,150,150,12,6.75575,2.8333
Take That,2,20,20,8,6.15148,1.5
Seel\u00f6we,2,180,180,14,6.3131,2.6667
The Sands of War,2,120,120,12,6.6204100000000015,2.6
You Robot,4,20,20,6,5.97887,1.25
Skybridge,2,20,20,7,5.90427,1.9615
Alien Menace,2,30,30,12,6.56222,1.8
Genji,2,45,45,10,5.84368,2.0
18West,2,360,360,14,7.22315,4.0
RisiKo! Prestige,3,90,90,14,6.33636,2.125
War Between The States (second edition),2,360,360,12,7.192189999999999,3.75
HINT,4,45,60,15,6.60733,1.1429
Wilde Wikinger,2,15,15,6,6.09975,1.25
Wayfinder,1,45,45,0,6.62045,2.7778
Guiscard,2,120,120,12,7.76,2.4444
Storming the Reich,2,400,400,0,7.34554,3.0
Parts Unknown,4,90,90,10,5.98433,1.9048
Maurice  War in an Age of Gentlemen and Philosophers \u2013 1690-1790,2,180,180,12,8.234210000000001,2.5556
Shadowrun  Sprawl Ops,2,60,90,13,6.677689999999999,2.625
Mothership  Tabletop Combat,1,45,180,12,7.224639999999999,2.0
Chez Cthulhu,2,45,60,12,5.89429,1.5455
Mutants and Death Ray Guns,2,30,30,0,7.52653,2.75
Bruti,2,20,50,14,6.9786800000000015,1.8125
King's Kilt,2,30,45,8,6.09058,1.625
Downfall,3,90,150,14,6.56066,3.9091
Thornwatch,3,30,180,13,6.6075300000000015,2.3333
Cortes  Conquest of the Aztec Empire,2,180,180,12,6.4713400000000005,2.5294
Bloody Omaha  D-Day 1944,2,180,180,12,7.8681800000000015,4.6364
Off Your Rocker,4,45,45,12,6.44146,1.1429
Snowman Dice,2,10,10,6,6.54479,1.0
The Farming Game,2,120,120,10,5.87102,1.6892
Monopoly Express,2,20,20,8,5.68994,1.1333
Circle of Fire  The Siege of Cholm,1,180,240,14,7.3905699999999985,2.625
Cherokee,2,30,30,10,5.9443,1.8333
Adeptus Titanicus  The Horus Heresy Rules Set,2,90,250,14,8.4,0.0
Goblins vs Zombies,1,15,15,7,6.43136,2.0
Baby Clues,2,15,30,8,6.776860000000001,1.0
Danger 13,2,30,30,8,6.0338699999999985,1.2308
Veto! Szlachecka Gra Karciana 2 edycja (2ed),2,30,30,10,6.6971300000000005,2.7143
Make You Gunfighters,3,15,30,12,6.25601,1.1852
Tien Len,2,20,20,10,7.18145,1.8571
Video Game High School,2,30,30,7,6.46172,2.0
Turf Horse Racing,3,60,60,10,6.47843,1.7
Stalingrad,2,120,120,12,5.99349,2.375
Magic Realm Light 30,1,30,45,0,7.29615,2.7778
Zeppelin Raider  Imperial German Naval Airships,1,90,300,12,7.88387,2.5
The Reef,2,60,60,10,5.70326,1.6111
MLB Showdown,2,40,40,8,6.14671,1.9444
Semper Fidelis  Bitwa o Lw\u00f3w 1918-1919,2,45,180,12,7.9,3.2
Manaforge,2,60,90,14,7.10703,2.75
Menu Masters,2,20,40,8,6.40111,1.5
Balance Duels,2,30,30,8,6.21863,1.6154
Nations in Arms  Valmy to Waterloo,2,3000,3000,0,7.155710000000001,4.1429
Parley,4,60,120,14,8.0873,3.0
Schatz in Sicht!,2,20,20,5,6.5904300000000005,1.1111
Kyoto Protocol,2,15,30,8,6.65802,1.6667
Marengo 1800,2,120,120,12,7.42532,2.7857
